"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";86;"";;;
2;"K18,K14,K2,K10,K15,K11,K19,K6,K7,K1";"easyC-connector";10;"easyC-SMD";;;
3;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
4;"R1,R6,R3,R2,R4,R5";"0603R";6;"10k";;;
5;"G***,G***,G***,G***,G***,G***,G***,G***,G***,G***";"Logo-Front-easyC-5mm";10;"LOGO";;;
6;"JP1,JP3,JP2";"SMD_JUMPER";3;"SMD_JUMPER";;;
7;"U1";"TSSOP-24";1;"TCA9548APWR";;;
8;"H2,H1,H4,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
9;"C1";"0603C";1;"100n";;;
10;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
11;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
12;"C2";"1206C";1;"10u";;;
13;"G***";"Logo-Front-Soldered-6mm";1;"LOGO";;;
14;"K12,K4,K17,K5,K13,K3,K16,K8,K9";"HEADER_MALE_4X1";9;"HEADER_MALE_4X1";;;
15;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
16;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
